song,artist,uri
Good For You,Selena Gomez,spotify:track:0kGXCXZkTMxJU7GXkJdzH0
Free (feat. Emeli Sandé),Rudimental,spotify:track:2rOuCpkWsioxg8QNPMX9lB
One Time,Marian Hill,spotify:track:1Z4UKak2eNteHFZkwiYPNz
Loud Places,Jamie xx,spotify:track:2sZtaJ4RFbRAAOBKWEeR4H
War Paint,FLETCHER,spotify:track:46FDaONYM0jiJWTBIQCLUB
Wild Eyes,Broiler,spotify:track:6CZSePF4e6DJbraNkjgJ6d
Wake Me,Midnight Faces,spotify:track:6XRUiRFxayi9E6UKnOZhXn
Sweet Ophelia,Zella Day,spotify:track:3hMVNsHKnApzCa6Lw6vlVj
L,Tycho,spotify:track:2oP4w0TzNhoQ0afd1NyAuC
Dream Baby Dream,Bruce Springsteen,spotify:track:03VQOmKVUZIOBym1Tt0IAa
Dark Sunglasses,Chrissie Hynde,spotify:track:3xgfTGhgVVo5Pzmjc87nqd
You Already Know,Arcade Fire,spotify:track:0lijVPETlmWEPFzGXMjhDs
Karma Police,Radiohead,spotify:track:0hCW6LbmFCYwM1uGmnjjNe
Rebel Beat,The Goo Goo Dolls,spotify:track:5dhiSzbvqyYDnoH6miY3KX
Boy,Ra Ra Riot,spotify:track:3v4m3q7PZcV0wHdZHdErRR
How's It Going to Be,Third Eye Blind,spotify:track:3Uvx1TO0Kg5HgGPk58lHXv
Lucky Man - Remastered,The Verve,spotify:track:2iv5pogsl0N4FrXgMbuNLf
Beautiful Day,U2,spotify:track:5t514bZ4eZPtKJbKfuZJCA
You Are a Tourist,Death Cab for Cutie,spotify:track:2bD1AW4yqiCurGCva6r88a
Summertime Sadness,Lana Del Rey,spotify:track:2dBwB667LHQkLhdYlwLUZK
Antarctica,The Weepies,spotify:track:4xL1dlkUctAQEucakmvXTd
Bicycle,The Wet Darlings,spotify:track:6LzfmMl1DPAp6SeUPtvidY
So American,Portugal. The Man,spotify:track:4vWNhCGqrNVfZxunY47GDf
Little House,Amanda Seyfried,spotify:track:4T3Ux4sdaP15QZnRVqHVZJ
O Holy Night,Il Divo,spotify:track:07ttV7qhatikG1ld2CPWCl
The Story,Brandi Carlile,spotify:track:3MWpicmdlnbmdrv196YoG7
The Way It Ends,Landon Pigg,spotify:track:0IklYRFQc0in7yrnn8fzrS
Make It Without You,Andrew Belle,spotify:track:6jI7y83WjuyBne9b3IvdSs
Keep Breathing,Ingrid Michaelson,spotify:track:6Vj0vYmYfGUX9xSLyJcs1U
Universe & U - Acoustic Extravaganza Version,KT Tunstall,spotify:track:6FPoUhFdHmvSyW0f8GIMYS
Just Say Yes,Snow Patrol,spotify:track:0NLMTwdtea5BvVdqx9CpSj
The Story,Sara Ramirez,spotify:track:7cQR1ywSCKayqfBt6HYkwl
Your Ghost,Greg Laswell,spotify:track:5vItubANnHaLlVAL5Pswoz
Nico And The Niners,Twenty One Pilots,spotify:track:6ZIuit0z4eQg77F1RGkp0L
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,spotify:track:1sh6lL6cmlcwhqZKGiKBua
Out of Order,Highasakite,spotify:track:6mbSr707T5mXS9pw7F3ahZ
Million Voices,Otto Knows,spotify:track:0qTw7kEFpNdECY7jRCg54v
Get Some,Lykke Li,spotify:track:6Jcw41spJ0OfmV9hEIf9Fu
Mad world - Instrumental Mix,Marius Furche,spotify:track:4F0qJgDYwJHPSwQ4n9r4JM
What Kind Of Man,Florence + The Machine,spotify:track:09Ua1o00SlYsiN7Mn3t7ji
Delirious,Susanne Sundfør,spotify:track:6Fer9IcKzs4G3nu0MYQmn4
Next Year (RAC Remix),Two Door Cinema Club,spotify:track:2rVtQWkT6bNWxPnxR0mAy4
Shooting Stars,Bag Raiders,spotify:track:3HT03HJRjdigmS1KkLFotX
Fitzpleasure,alt-J,spotify:track:7DdXf9x75iEVCHWfoRwRuR
Texas,Magic Man,spotify:track:1E3agX9ZGgws6CNbjDBKZJ
Coming Home - Viceroy Remix,Visitor,spotify:track:2epttfTE3C7PeOGGa9isqf
Handshake,Two Door Cinema Club,spotify:track:6PZ5g4V0DM1sILf1oLlS42
The Night Comes Again,St. Lucia,spotify:track:5KFdwLvJ0Bokm0TFlSPq47
We Got It Wrong,St. Lucia,spotify:track:4PPDrbRPujMQBLqlMg2yNt
September,St. Lucia,spotify:track:5u4q8PgOpFOa5tG4yrFAzw
Beach,San Cisco,spotify:track:1t7jFDW4HWlV5xaOImyBjv
The Wave,Miike Snow,spotify:track:1si9wrLogkenNU1c1EyIUo
Iron,Woodkid,spotify:track:4rPCgwmCgef78nrsqwjA7G
Sex,The 1975,spotify:track:67ispalOAo3jnZWYSTTfZk
Girls,The 1975,spotify:track:5WSdMcWTKRdN1QYVJHJWxz
I Am Not a Robot,MARINA,spotify:track:0fiPpwBPIaxxydn4KzX9Tc
Sexual Healing - Kygo Remix,Marvin Gaye,spotify:track:7s1upm7yr7ZjrzXMwHawtG
Honest,Kodaline,spotify:track:21RrWodYQbcbDlpvRvPYx9
Desire,Years & Years,spotify:track:1BUyDBXr8u39ZG5elMENjd
Sunlight (feat. Years & Years) - Radio Edit,The Magician,spotify:track:5r3aYGutXgsxSqB6W3RrzJ
Something New,Axwell /\ Ingrosso,spotify:track:4cv71mJSrtpr9ewCre061T
Hurricane,Halsey,spotify:track:4UVxDqQYp611odd8Mn9G4g
Young God,Halsey,spotify:track:1szzGhkhCwLcNXcQ7wLy70
Silver,Caribou,spotify:track:5xVZk4Vt12ViVyoircV9iP
Everybody Wants To Rule The World - From “The Hunger Games: Catching Fire” Soundtrack,Lorde,spotify:track:6vH82EO79HolBobpt6eMS9
Colors,Halsey,spotify:track:2CMvjYFO1xZTDP9fVp57lL
Castle,Halsey,spotify:track:4YhYKF2mGEFE7zAW4t6nu0
Hold Me Down,Halsey,spotify:track:1mvG08DsR1htTYhnb9FTHC
Drive,Halsey,spotify:track:72bPh1azOMph58jIBKgAze
Roman Holiday,Halsey,spotify:track:28VbwETz6dStSkWxd1aoGH
Coming Down,Halsey,spotify:track:2o7oNngnwVr4uixaiIeKCi
Haunting,Halsey,spotify:track:75m6TiBrJuTTCFRsJE1c7q
Control,Halsey,spotify:track:7mGOM1MIyelw7aCBYD1I4V
Ghost,Halsey,spotify:track:2D6j8k31BiqbzZA21j8aHM
Strange Love,Halsey,spotify:track:0hlICtdXPjXQ2SHHBmSJOA
Gasoline,Halsey,spotify:track:3zE7ATRpfliDluoedEUSQr
I Walk The Line,Halsey,spotify:track:1IlChzvsOEOGy8va38hPbG
Stjernesludd,Dumdum Boys,spotify:track:2MNWXrdDqfgqYIwExhv1fB
Vampire Weekend - Ottoman,,spotify:local:::Vampire+Weekend+-+Ottoman:234
Standing in the Rain (with Mark Ronson & Dan Auerbach),Action Bronson,spotify:track:6p586xRu0OuyR1ftsTvFoz
Medieval Warfare,Grimes,spotify:track:60QB81goFQieUq28DZEDZP
Ghosts,On An On,spotify:track:6hnjVnUwI9nJtpSLMFJsfF
Touch,Troye Sivan,spotify:track:0eRzcqXn5dLNa5zOXZySMw
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,spotify:track:5kZRoc6Gz7u5eu4a0YM2LS
Ghosting,Mother Mother,spotify:track:6tS6kNSPYD1BZbBOg7YiYM
Fiction,The xx,spotify:track:2WWkBERKDC4MZN8nhiAdQQ
One For The Road,Arctic Monkeys,spotify:track:3nCkURI30dSOA2ibF493nf
Warm Foothills,alt-J,spotify:track:3gd9jFyf2AhJPi1HqHUVFP
Dissolve Me,alt-J,spotify:track:2vNmPvzN8fgyhJG5nKfbt8
10am Gare du Nord,Keaton Henson,spotify:track:1pbXKPNIY8HzMIoksoCTxZ
You,Keaton Henson,spotify:track:3AsfuEnwyMTHS7mbzcRUdV
When You Break,Bear's Den,spotify:track:2MaCvfadvDHyrttQen5kv2
Peanut Butter Jelly,Galantis,spotify:track:3aIhJDHxr1kgTSnutJxPTH
Buckle Up,Join The Riot,spotify:track:5S0XJvM4ZyXlzH8CwMbTVH
Hello,Adele,spotify:track:1MDoll6jK4rrk2BcFRP5i7
Sweet Dreams,BØRNS,spotify:track:5d6EWDuFfur7puQkKnt4Fj
Alone - Lost Frequencies Remix,Alan Walker,spotify:track:11GRXDuBuUM6kEZ3RpFewA
Up We Go,Lights,spotify:track:5RGHmrZCW2d4aBSfdrkiZJ
Fire N Gold,Bea Miller,spotify:track:7xAdO0zdl7lGf0ecg4IGhQ
Can't Feel My Face,The Weeknd,spotify:track:3X38ErFiKgzUxinBlhwuWm
Achy Breaky Heart,Billy Ray Cyrus,spotify:track:2EoIt9vdgFRNW03u5IvFsQ
Greased Lightnin' - From “Grease” Soundtrack,John Travolta,spotify:track:09a1y2b11vF75PEX6nEdwz
Summer Nights - From “Grease” Soundtrack,John Travolta,spotify:track:541dIJFHxpeCMVWydZ5Lzw
The Hardest Part,Coldplay,spotify:track:4Tw9JYF9HOuPRyccNWMgwf
Beautiful Sunday,Daniel Boone,spotify:track:6DqNZJ4hhBYd8qj9WbpSTJ
Show Me Love,Sam Feldt,spotify:track:6ksRossV4vKsXntCCZbhaM
Here for You (feat. Ella Henderson),Kygo,spotify:track:7vqUr6K2Js9Paq4kdNSOm6
Rolling With Me (I Got Love) (feat. Maverick Sabre),SoulCircuit,spotify:track:53mKCJ7KWPtvREhnVeqjen
Spiders - Finnebassen Remix,Gundelach,spotify:track:3woHCu0QKrjnmmMm3MJ3xg
West Coast - The GRADES Icon Mix,Lana Del Rey,spotify:track:20BtSFYTjGeUKq78qCUVsg
Shallow Waters,Sonny Alven & Jarand,spotify:track:55gMhq7JCN9Gg5YOkxfSnv
Make the World Go Round (feat. R. Kelly) - Gigamesh Remix,DJ Cassidy,spotify:track:7MVsgq9O2aZkEWfIRsGbGh
Here For You - Bearcubs Remix,Gorgon City,spotify:track:6fSmnjwTgkiyACI0Kana2b
Hot Skin - Radio Edit,Sam Feldt,spotify:track:5OppKZFuGrKMVpWRHzp4jM
Make Me Feel Better - Radio Edit,Alex Adair,spotify:track:5wy5gRd6uSqfz1aYnWDqPx
Under the Sun,Miskeyz,spotify:track:3Dy4lJm9VZpPYd9h7IFfwX
United,Claptone,spotify:track:3cGYVkd1i9jRvYHSKv8FBj
Adore,Jasmine Thompson,spotify:track:0q3xdwnXoHgHsc32CxpTG4
Miami 82 - Kygo Remix,Syn Cole,spotify:track:1DRbYDXcxIl1oHP0wPHi96
Touch - Oxford Remix,Shift K3Y,spotify:track:2TbcefZkF8WYzQYoxHEpCq
Dancing in the Fire - Secret Sebastian Remix,TOOMANYLEFTHANDS,spotify:track:1W2L5HoF22jBznumgUcDm1
Irregular Love,Sonny Alven,spotify:track:0O9OqOW5Zkc2OfDuk5ZZdb
Be Right There,Diplo,spotify:track:1Wuwsq0BK4Abd7gRitOhXl
679 (feat. Remy Boyz),Fetty Wap,spotify:track:5NQbUaeTEOGdD6hHcre0dZ
A Pair of Lovers,The Jungle Giants,spotify:track:78Q69xvk59iR8UK9hNjWa0
Awakening,AURORA,spotify:track:6oBCi3MzGudD7hQ2V5NkO4
Det ordnar seg for pappa,Lars Vaular,spotify:track:1ivQOuG8x5M7D79bcDY7hK
Running with the Wolves,AURORA,spotify:track:2FIIDjEbHzr0wYbrPPD3Uw
Tennis Court,Lorde,spotify:track:7vzczp2f2qK3YywNkZ2uo5
Pressure,Youngblood Hawke,spotify:track:5o2rm0QYy7h9pTQZlz6TLp
Next Year,Two Door Cinema Club,spotify:track:0RXphrOyw4NbiKsOX1SeDh
Drive Darling,BOY,spotify:track:5LTgXILxa4dCIyjzoWmSjf
Trojans - Lenno Remix,Atlas Genius,spotify:track:6kZb0UmJ4fyIsIal0pHosG
Ocean Drive,Duke Dumont,spotify:track:5WsxrJcbgobPj4V7lhs8Qf
Love Myself,Hailee Steinfeld,spotify:track:0xCmwofyCiXdhoBsMSNj2w
Gorgeous,X Ambassadors,spotify:track:2xI3vq0WsAEs4tET6gthuw
Runaway,The National,spotify:track:4CwpP3vWh0f5VsEmvdOWib
"Welcome Home, Son",Radical Face,spotify:track:13PUJCvdTSCT1dn70tlGdm
Machine,Lemaitre,spotify:track:36Nc4YV9aEqlR6JypNa406
Animals,Todrick Hall,spotify:track:1hgsyxxIU3ClCgD4cmIOUp
Nostalgia - Single Version,MØ,spotify:track:4pSRM0u2o3FsflPe8Mh2vg
Dreams on Fire,Blue Foundation,spotify:track:2qjCjWWResse4nEX21Yc2w
Half The World Away,AURORA,spotify:track:21HfUACOv1lgBiYocruoW8
Let You Out,Emilie Nicolas,spotify:track:25Zf9BskLFn1vDDypPXkuF
Medicine,The 1975,spotify:track:48xNw8YZxvrc3qB5IKaJ8w
Ode to Sleep,Twenty One Pilots,spotify:track:773xZHHSHJvC1z3AAtWgH6
Rivers,The Tallest Man On Earth,spotify:track:07ZkpHysDtnBHQKbEOBZ2L
Trees,Twenty One Pilots,spotify:track:1yf97yL1ll8FYXC27c9VTw
Now and Later,Sage The Gemini,spotify:track:43jBqV3j3Xi1g6wO0bhIMd
Heart Won't Forget,Matoma,spotify:track:2of2DM5LqTh7ohmmVXUKsH
Lights Out (Too Drunk) [feat. Hayla],DJ Katch,spotify:track:5Oh3cW5gnEEKPsHb1WrVWm
Wherever You Go,TRXD,spotify:track:4YQTEF66m4WPmfEUf6npzW
Because You Can (Jolene),Chad Cooper,spotify:track:4SSY5kUKYDgnH2DlNsxoT1
Odal,Wardruna,spotify:track:6SsE2eNzGV0BWgopjLy5Bn
Our Story,Chevrae,spotify:track:37NKd2Aobt6yt5LKxvCewY
Apart,Nils Bech,spotify:track:7CqRzEraVzYOm6hFkxDIG1
Games,Gundelach,spotify:track:5sgwwisrCNhjihbTyxn2hr
Hang With Me,Robyn,spotify:track:5WSvxi7ypTMrrbJ4FS4kCO
Indestructible - Acoustic Version,Robyn,spotify:track:72MP2tL61NAS819rBleaPv
Våpen (feat. Ane Brun),Janove,spotify:track:0h8zvJxQAwOKzrkEnAi8ou
From Lom To Bangladesh,Carl Louis,spotify:track:2z8byi0hWQ9PwTWC89H6fd
Come With Me (An Arctic Funk Mix),Carl Louis,spotify:track:2yhQnSBL8s7EE6VdshTvNq
"Mad World (From ""Riverdale"")",Riverdale Cast,spotify:track:0oPhXJnORDeS1Q2PZmFBc1
No Church in the Wild,A Surgeon,spotify:track:17SQ4n6IxM3DoOGtrRFB4l
River,Leon Bridges,spotify:track:0NeJjNlprGfZpeX2LQuN6c
Super Rich Kids,Frank Ocean,spotify:track:0725YWm6Z0TpZ6wrNk64Eb
September Song,Agnes Obel,spotify:track:6SctHYL0HaQ5hFpUxXULYa
Ball and Chain,Big Brother & The Holding Company,spotify:track:6jXzkgISP6UfMEEaKkxWJw
Man In Charge - Tison Remix,Brent Amaker and the Rodeo,spotify:track:2ucTcUzrNivqM0N7lLdjTb
The Wind,PJ Harvey,spotify:track:3wpgsItgt4A6YetXqOLt0T
Casimir Pulaski Day,Sufjan Stevens,spotify:track:1u1YU1LE0FWHFOHpR2iXua
Money - 2011 Remastered Version,Pink Floyd,spotify:track:1SwE3FURO4wYshsLRggtfv
Money For Nothing,Dire Straits,spotify:track:4WfGrAJVC3A5xhUTja0gUG
Brothers In Arms,Dire Straits,spotify:track:7EmSPZ9f1AiLR9eVHNSI62
Thinkin Bout You,Frank Ocean,spotify:track:7DfFc7a6Rwfi3YQMRbDMau
"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",Emma Stone,spotify:track:2lDWYLNnfYyXngjz4plpy2
"Epilogue - From ""La La Land"" Soundtrack",Justin Hurwitz,spotify:track:1FSYWdhztV0JtXbxa5JpXq
Charon,Keaton Henson,spotify:track:14Zdkq8duIwDKJKqJkR3ZU
Reincarnation,Susanne Sundfør,spotify:track:0Gw9fznCDbfSxQIKgIa4Ta
Another Love,Tom Odell,spotify:track:7otCGmgp9h4CsR2LhwB6gt
The Woods - Acoustic,Hollow Coves,spotify:track:6uaIMhUZXMuT2Zz0vxrFiR
Lionhearted,Billie Marten,spotify:track:75jrL6pCF8W0BaMfkWhoiC
,,spotify:track:21WB4fVPMcelZNbU5rJkXd
Today Has Been OK,Emilíana Torrini,spotify:track:1u2hszuCZjUgWw2dRekbuL
Coup de Grace,Röyksopp,spotify:track:772k0Bc3gPxvvLswaTNmDv
Goodnite Mr. Sweetheart,Röyksopp,spotify:track:6v13oD7rqEQTLn9157ZlGs
For The Love Of A Princess,James Horner,spotify:track:22yxHt6UqZpH7tP6W4PooI
"The Council of Elrond (feat. ""Aniron"") [Theme for Aragorn and Arwen]",Howard Shore,spotify:track:3Knohqfb9jeYzL6wMZiWLM
Drink Up Me Hearties Yo Ho,Hans Zimmer,spotify:track:0HewdQ1l9bckQXPfIO3CYH
Chevaliers De Sangreal,Hans Zimmer,spotify:track:4VaOecssBTF02dO0n2u8BS
Dream Is Collapsing,Hans Zimmer,spotify:track:5xKVYMxOHB2XRLCUafFrz6
I'm Forrest... Forrest Gump,Alan Silvestri,spotify:track:1ijrMIqQvZNsnoqGukPzFD
Hymn to the Sea,James Horner,spotify:track:7HEgOGOTgdOsyu7WKvduJ9
Houdini 2016,TIX,spotify:track:1SN4WHIm3yMSuNENGRUkMo
Freakshow 2016,BEK & Wallin,spotify:track:471S5k1IB1mVyh5qtMGE4C
San Andreas 2016,Technosnaus,spotify:track:0F7YIfHKqzdCcM9JEzhwEw
For A Better Day,Avicii,spotify:track:2u5B53qh8UGDnPcdJATcDl
Pony,Ginuwine,spotify:track:5FR54UnizyI8pE5E9Zb0Dt
Down On Me,Jeremih,spotify:track:5ZxCk43qwHrzVUahCyRLEm
Collide (feat. Tyga),Justine Skye,spotify:track:0M8MPqaoGgkRjkG9kgZ3n4
All The Time,Jeremih,spotify:track:0sFvItEeMstcUyZCleYgyj
"Touchin, Lovin (feat. Nicki Minaj)",Trey Songz,spotify:track:3eqT34f3rxmm4dR7madDIM
Young And Beautiful,Lana Del Rey,spotify:track:5UzTtUZper0CphnqZYvsIu
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,spotify:track:6D5pfooPP6hi99RaXjkDsP
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,spotify:track:0hy1SOTEn9ifXTzOwnCwEr
National Anthem,Lana Del Rey,spotify:track:4bEqEKIt6oldTARnKW7I8R
High By The Beach,Lana Del Rey,spotify:track:35WhawODuOs0kaHxwmPA9D
Delilah (feat. Pusha T),Tim Omaji,spotify:track:7oTfkQT3mP7SLFOuQcjGkP
Face in the Pillow,Natasha Mosley,spotify:track:6Wk7JXGEI5XcJavLo1RSyc
Dopamine,BØRNS,spotify:track:09b6fgnqKKgx0CbiNMCEs3
Dug My Heart,BØRNS,spotify:track:4o6LaVzeB3Ny7oQCBjT053
We Are the Kids,WALK THE MOON,spotify:track:24Rl1EUg5y9uym2rI3DL3r
Hypnotic,Zella Day,spotify:track:0anBkYin9hH9nTpoEDuEEA
Locked In The Basement,The Boxer Rebellion,spotify:track:6rMblnXwkfeopNSaKRthkI
Hus/hotell/slott brenner,Karpe,spotify:track:0MOR5aY6lGc3rXiHvnRikQ
Hvite menn som pusher 50,Karpe,spotify:track:7vKmrZGW8opHdJVZbyCe1i
Skinny Love,Bon Iver,spotify:track:7fXyuQqEBwpKtCa8PomO7B
Be Still,The Killers,spotify:track:1YdnHgtFBIjCFy561zmGeo
Oceans (Where Feet May Fail) [Album Version],Hillsong UNITED,spotify:track:7Hfj5DMJel8YPh81q59JIl
Undercover,Susanne Sundfør,spotify:track:3UzZHtA8n2yaHNKDktP0lG
Plug in Baby,Muse,spotify:track:2UKARCqDrhkYDoVR4FN5Wi
Big Girls Cry - Odesza Remix,Sia,spotify:track:4MM3Y2NA3hFPPmEfPjHAaT
Ingenting,kent,spotify:track:1KJe9UbBelM1Jz0uZRPlhi
Flashed Junk Mind,Milky Chance,spotify:track:0vaqaxwsEL8IW1esEPHJp3
Is There Somewhere,Halsey,spotify:track:1yhYLxe9JYxdm8FtS38hIK
Remains (Bastille Vs. Rag’N’Bone Man Vs. Skunk Anansie),Bastille,spotify:track:0XDkORnqAgnWMtqKlouLWT
Giving Up The Gun,Vampire Weekend,spotify:track:1qBhwKYvmHynSH2tXcR4hw
Video Games,Lana Del Rey,spotify:track:0fBSs3fRoh1yJcne77fdu9
Fire Meet Gasoline,Sia,spotify:track:3Rw6shHCDFRWv3g2WmEFKv
Hurricane - Arty Remix,Halsey,spotify:track:0KOMzOpAeg3CNrs7UceEpO
Happy Up Here,Röyksopp,spotify:track:1ixtaZc0Adil3yD1ItPqSl
The Hills,The Weeknd,spotify:track:25khomWgBVamSdKw7hzm3l
Marvin Gaye - DJ Kue Remix,Charlie Puth,spotify:track:6QjP4cl4M4pEFsfZzlk5UI
Intoxicated - Radio Edit,Martin Solveig,spotify:track:03tJhmP71vPD7pIenJlWJ6
Shots & Squats,Vigiland,spotify:track:3FS2e59gXFXrcg7sN2mL5z
Stay A While - Radio Edit,Dimitri Vegas & Like Mike,spotify:track:4q0bEYrKOHnwAlImrxbOU7
Places,Martin Solveig,spotify:track:6O85MfGECKBqAK2MgSbCaj
Won't Stop Rocking,R3HAB,spotify:track:3puJ4f4wzYC79XboCfvPWo
For The Love,Hearts & Colors,spotify:track:1Q1Lz8shbr2AXR8zKReTqd
X (with 2 Chainz & Saudi),ScHoolboy Q,spotify:track:4iEpZuwhEuoilKaZjXQPbF
All Stars,Martin Solveig,spotify:track:3aLSrx8qhssXrh5yjB6oy9
Kill The Lights (with Nile Rodgers) - Audien Remix,Alex Newell,spotify:track:4iCKHGl4ij4YMwFrUZLGEQ
Hot2Touch,Felix Jaehn,spotify:track:1sBhJGPUKrdRycgKxve70v
High & Low (feat. Jasmine Ash),Oliver Moldan,spotify:track:59RdNNpqBf6MGFRvAXjNDI
Peanut Butter (feat. Big Freedia),RuPaul,spotify:track:0an1BrPlqEV2LiWjuV9SuE
Cover Girl (Macutchi's TaterZ DeeP Edit),RuPaul,spotify:track:2np4vOoVwdceWRExIGnrFj
The Beginning,RuPaul,spotify:track:10Xt9nkxQZNsPDtg30xpvR
Strangers - R3hab Remix,Sigrid,spotify:track:4LsoGr72oYFSFgV1C3NqAz
I Got U,Duke Dumont,spotify:track:4r8hRPbidDIoDPphxi78aY
Sun Comes Up (feat. James Arthur),Rudimental,spotify:track:6SUocL0caib4mLHe8ZrZzi
"bitches (feat. Charli XCX, Icona Pop, Elliphant, ALMA)",Tove Lo,spotify:track:0S0rlh59DhpPheILyXYX76
That Feeling When,Dagny,spotify:track:1jxyZbPPeD4RhXO2nbaBWB
Cool Girl,Tove Lo,spotify:track:5dKyZWlgjWw1oJgLa4GCZD
Stay High - Habits Remix,Tove Lo,spotify:track:5JCi3pyggvk4B0yd0BK3ow
Plain Jane,A$AP Ferg,spotify:track:4dVpf9jZjcORqGTLUaeYj9
Er dette alt (feat. Chirag),Cezinando,spotify:track:066JQ4SAbj2CHQ1gKU6pJv
Love You Like That,Dagny,spotify:track:2e4iMjeZPOtgz1KwdD7vuT
Fredag,Kjartan Lauritzen,spotify:track:7kAYAYEfOy0ZkpGGLN3XiZ
Havanna,Kjartan Lauritzen,spotify:track:5zjKOmKIlJbO9IFlM5Fu1R
Attitudeproblem (P3 remix),Bendik,spotify:track:26OfcIkRGrXFG3MeZq8vX8
Tänd Alla Ljus,Silvana Imam,spotify:track:0kdOSSWcYye98wID8RIhdl
För Evigt,Silvana Imam,spotify:track:14xZtVbG1Ue1Bv8fbVVSl5
Missing U,Robyn,spotify:track:74L6lPSnpSY5IiPcKwazZu
Bigger Than You (feat. Drake & Quavo),2 Chainz,spotify:track:5S1IUPueD0xE0vj4zU3nSf
It's A Vibe,2 Chainz,spotify:track:6H0AwSQ20mo62jGlPGB8S6
En Større Dag,Janove,spotify:track:6eTgnzT2IGzcHLqb3XDDHA
Marlene,Janove,spotify:track:5prK1lqt5nyK5RuaHGfSBO
En Til Som Deg,Janove,spotify:track:1hbYQWH6kUn23YQe9lXn8G
Áddjá,Resirkulert,spotify:track:6n3kvzqWaqURoXIV2ahm5U
Don't You Want Me,The Human League,spotify:track:3L7RtEcu1Hw3OXrpnthngx
Feels Like We Only Go Backwards - Recorded at Spotify Studios Stockholm,Lemaitre,spotify:track:51Tb0DkANWOoURN81p4ugm
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,spotify:track:1FrrRHxMKVvd85O3gancxW
Higher,Lemaitre,spotify:track:2jIMtd2GaUesi6u3hO2Anb
Big,Lemaitre,spotify:track:1D71evI7Ii9G4CXl5z8miv
It's Not This,Bearson,spotify:track:12ZC7GrMQNo6xXJdN89d8P
Young & Unafraid,The Moth & The Flame,spotify:track:5MXTJktozOCF1KInWzVH5B
Moonland,Ine Hoem,spotify:track:7mMfSXx24LoQXcysvT4YT6
Glöm bort mig nu,Solen,spotify:track:5Mh9SeOMjCRIPPhhVnNgxk
The Sun II,Snakadaktal,spotify:track:4kgk1pRHjXoOpwSWzKggAk
'Cause I'm A Man,Tame Impala,spotify:track:2O99aywAVBhaPrsiJ6zbSS
Sun’s Eyes,Rubik,spotify:track:0yeH7bLGafdVLxmBAiTE2Q
Tunneler,TØFL,spotify:track:34ef7FsORDnJehxSbJwPeu
Sugar for the Pill,Slowdive,spotify:track:0GN3fXUdsTHeUg50xfDS0V
Run,Snow Patrol,spotify:track:6kesIBNAY17BoAz28pnWMC
Alle Andre Får Lov,TØFL,spotify:track:34MaEbdJT1ho5rnWz2K3wg
Delilah,Florence + The Machine,spotify:track:12HB8AmFTovKrFcGG36KbL
Letting Go,Wild Nothing,spotify:track:4yJjv9ii2kk02tIWZLzRei
Happy When It Rains,The Jesus and Mary Chain,spotify:track:325ipyWkzIGakH2DJgDlOT
House by the Sea,Moddi,spotify:track:34Qk1WJ2ukktGOCNcRzxus
Bizzare Love Triangle,Pavi With Tropicalia,spotify:track:6UQJ16KvaUXdNDzS9ifnno
Anchor,Novo Amor,spotify:track:7qH9Z4dJEN0l9bidizW7fq
Another Man Done Gone,SOULS,spotify:track:6UffvUIHIbZ25HxS04qSBK
There's Something Dark,Dustin Kensrue,spotify:track:2E4WGn9i6SocrEMumCuQ2n
This Is A War,Losers,spotify:track:4tesu8qanmI0iGLXg4qIth
So Nice to Meet Ya,Hayden Calnin,spotify:track:1lBg3MeTgrz2eIMCsC1UQo
I Wait for You,SOULS,spotify:track:5UfwQi8TGDMwgu38cFcXRJ
I Never Got To Say Goodbye,Losers,spotify:track:6xhreY0nA0OZbbOUOLM8oY
Ruins,First Aid Kit,spotify:track:4ooaXjQJn8fGReXkWjBxAc
No One's Gonna Love You (Stockholm Version),Band of Horses,spotify:track:371akJ9fYgSkrAFMyWoTdL
"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny",James Vincent McMorrow,spotify:track:4MzySNjSdv9ZegSD13IVNV
Stormen,Janove,spotify:track:6AnKUBgDAldw7epaJl206B
Klappjakt,Janove,spotify:track:5DYUHJ0q7CqQOciwszHcwI
Pyramidene,Janove,spotify:track:7v187voFkKEaj7BZmtFkIb
Øyeblikkfanger,Janove,spotify:track:0bM9edPgoiSC0mCNsozu40
Drittsekk - feat. OnklP,Janove,spotify:track:37beoovDvcU0bIGu3Y01IQ
Marlene,Janove,spotify:track:3EXTSLbBsaESikybvUdp1P
Spinner For Deg,Janove,spotify:track:43EHcd0hiRChOTyCqzfO2c
I Siget,Janove,spotify:track:7xHPoD27PLgectDn84mL91
Perler & Svin,Janove,spotify:track:5ovy70MEDPqgRHiubebpxm
Aldri La De Tru De Er Bedre Enn Deg,Janove,spotify:track:3rk9kvDm4FrtSdbnnQDmH0
Et Hjerte Som Sloss,Janove,spotify:track:3czPlECtVe2HqPv71rL333
