song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,id,cluster
Wild Dream,Joe Tossini,0.789,0.318,2.0,-11.839,0.0,0.0387,0.864,0.0494,0.156,0.637,124.795,265373.0,4.0,spotify:track:6tVKgeBESp2RgOT6oaj3fo,6tVKgeBESp2RgOT6oaj3fo,10
Asiko (In a Silent Mix) - Ricardo Villalobos Remix,Tony Allen,0.805,0.619,1.0,-11.776,1.0,0.078,0.024,0.864,0.113,0.197,119.883,1747244.0,4.0,spotify:track:6Sn6ZG9wfQ4mjari0OgfRp,6Sn6ZG9wfQ4mjari0OgfRp,8
Plain & Sane & Simple Melody,Ted Lucas,0.399,0.182,8.0,-13.955,1.0,0.0482,0.909,0.0,0.0977,0.147,161.82,160194.0,4.0,spotify:track:4DCEk28xejlUHLl0i9G7FA,4DCEk28xejlUHLl0i9G7FA,4
Toda Essa Água,Lô Borges,0.626,0.495,7.0,-12.422,1.0,0.0324,0.265,0.707,0.31,0.772,111.496,167867.0,4.0,spotify:track:6UztJu9S5CXgrpEHhl8tmr,6UztJu9S5CXgrpEHhl8tmr,8
Wallpaper,Woo,0.63,0.194,6.0,-20.514,0.0,0.0777,0.867,0.959,0.126,0.824,173.989,129944.0,4.0,spotify:track:3VjByw5202I2rwOCDKD51L,3VjByw5202I2rwOCDKD51L,12
Second Chance,Caribou,0.609,0.647,8.0,-8.198,1.0,0.0314,0.65,0.0042,0.136,0.78,145.021,240039.0,4.0,spotify:track:6Ei4irwKyiictqSXpPgrW4,6Ei4irwKyiictqSXpPgrW4,11
Gestos De Equilíbrio,Priscilla Ermel,0.388,0.291,10.0,-11.187,0.0,0.0361,0.515,0.775,0.0803,0.119,125.415,545372.0,4.0,spotify:track:5WRRRQ4TBXRETTpo6mcVqN,5WRRRQ4TBXRETTpo6mcVqN,12
Bandit Nrah Master of Rajasthan,Richard Horowitz,0.31,0.399,7.0,-10.001,0.0,0.0308,0.931,0.0527,0.0951,0.0606,113.003,294524.0,5.0,spotify:track:3iKc77ycitMD7k0Kel1Zpn,3iKc77ycitMD7k0Kel1Zpn,10
Africa - Live; Live - Strumentale,Pepe Maina,0.557,0.558,2.0,-11.398,1.0,0.0407,0.00507,0.876,0.0875,0.201,110.219,136360.0,4.0,spotify:track:6I60IqY0bsgmSy8QcPlETS,6I60IqY0bsgmSy8QcPlETS,8
Fancy,The-Dream,0.422,0.376,10.0,-11.348,0.0,0.0335,0.725,0.0,0.578,0.564,145.959,389773.0,4.0,spotify:track:6FYBcMhwABrPvxGkQiXEON,6FYBcMhwABrPvxGkQiXEON,10
Jamelia,Caribou,0.721,0.51,1.0,-9.871,0.0,0.0475,0.375,0.0801,0.0934,0.652,119.991,238747.0,4.0,spotify:track:2QrKnZKVJFIPshADjTz0aF,2QrKnZKVJFIPshADjTz0aF,2
Faster Than A Speeding Bullet,iSH,0.738,0.328,9.0,-21.048,1.0,0.0572,0.481,0.0131,0.209,0.312,94.911,185560.0,4.0,spotify:track:4wH0ZWioUVeit5O5xlWYHZ,4wH0ZWioUVeit5O5xlWYHZ,4
It'll All Be Over,Supreme Jubilees,0.664,0.235,11.0,-14.714,0.0,0.033,0.844,0.0102,0.102,0.351,81.942,183933.0,4.0,spotify:track:2B1uvI5uBgni1VBsQRljma,2B1uvI5uBgni1VBsQRljma,10
Lalibela,Caribou,0.597,0.244,1.0,-14.787,0.0,0.188,0.218,0.793,0.184,0.153,118.435,145853.0,4.0,spotify:track:2mCtB7u4Bx6Wg637jAqIzh,2mCtB7u4Bx6Wg637jAqIzh,5
Ngoni Fola,Bassekou Kouyate,0.555,0.853,0.0,-6.213,1.0,0.0502,0.346,0.711,0.0775,0.761,125.171,257933.0,4.0,spotify:track:5nfhXvKhfeiV8YJ7bT0Xwo,5nfhXvKhfeiV8YJ7bT0Xwo,8
I'm Sending Vibrations,The Webb People,0.615,0.849,5.0,-5.434,1.0,0.0957,0.511,0.344,0.491,0.732,105.053,173573.0,4.0,spotify:track:19ochCEo5ILRIEu6GEshAI,19ochCEo5ILRIEu6GEshAI,11
Sunrain,Ashra,0.243,0.317,2.0,-15.826,1.0,0.0395,0.0151,0.964,0.106,0.0681,130.446,452600.0,4.0,spotify:track:7xrtYFSpcy2fT6xuyVZzFV,7xrtYFSpcy2fT6xuyVZzFV,8
Nemo's Dream - Live,Wolfgang Dauners Et Cetera,0.117,0.0291,4.0,-23.05,1.0,0.0323,0.924,0.944,0.112,0.0395,73.448,261960.0,3.0,spotify:track:4hcSnaeZRVJlciwv8njnok,4hcSnaeZRVJlciwv8njnok,7
Children'S Song,Jordi Sabatés,0.216,0.067,0.0,-25.949,1.0,0.0499,0.796,0.905,0.107,0.114,155.6,75387.0,3.0,spotify:track:2gUsUqTBsTiBCUOtbIa8CP,2gUsUqTBsTiBCUOtbIa8CP,7
Lucy,Roman IV,0.82,0.686,6.0,-11.745,0.0,0.0859,0.103,0.83,0.105,0.676,123.024,433000.0,4.0,spotify:track:1juxok2GbVvNJciZ1GkUu6,1juxok2GbVvNJciZ1GkUu6,5
Ahora,Daphni,0.752,0.68,6.0,-8.483,0.0,0.0494,0.0012,0.949,0.335,0.529,120.041,346547.0,4.0,spotify:track:0jlVqqzqn3Uby6DoxmiTk4,0jlVqqzqn3Uby6DoxmiTk4,5
Sun,Caribou,0.69,0.823,1.0,-7.371,1.0,0.0383,0.0401,0.779,0.172,0.443,127.982,344920.0,4.0,spotify:track:3alV5ui9OX5Vv6AQWUMO2S,3alV5ui9OX5Vv6AQWUMO2S,8
Rack railway To,Roberto Musci,0.282,0.604,10.0,-12.648,1.0,0.0579,0.873,0.936,0.107,0.562,90.648,227740.0,4.0,spotify:track:2bw2sLfWXduXE32cjEdFeI,2bw2sLfWXduXE32cjEdFeI,7
Get Down with Me,Angelo Tinsley,0.711,0.702,8.0,-9.538,1.0,0.0903,0.354,0.00108,0.108,0.881,133.464,207960.0,4.0,spotify:track:7nPk7TF47nQSTjKpDpj1Zv,7nPk7TF47nQSTjKpDpj1Zv,11
Sah,Al Massrieen,0.712,0.594,5.0,-8.241,0.0,0.174,0.681,0.166,0.0402,0.966,118.756,224000.0,4.0,spotify:track:4EBfDOUaCRqO5hbVYWsXRv,4EBfDOUaCRqO5hbVYWsXRv,2
Ayonha,Hamid Al Shaeri,0.716,0.732,9.0,-7.405,1.0,0.0291,0.535,0.0149,0.147,0.73,122.924,221500.0,4.0,spotify:track:4ivH1TtQELnn9KEtszWfYI,4ivH1TtQELnn9KEtszWfYI,11
Lamento Africano/Rictus,Maria Rita Stumpf,0.51,0.677,10.0,-10.884,0.0,0.0507,0.481,0.00343,0.114,0.512,88.208,266381.0,3.0,spotify:track:3lWBtRPQoqufAvQmR1Tknp,3lWBtRPQoqufAvQmR1Tknp,1
And Then,Harco Pront,0.447,0.0809,0.0,-21.552,0.0,0.0565,0.508,2.21e-05,0.12,0.221,80.608,71320.0,4.0,spotify:track:3mJrKafWXPLXyDHmoLQeWi,3mJrKafWXPLXyDHmoLQeWi,10
Sunsesame,Caribou,0.486,0.32,0.0,-13.713,1.0,0.0425,0.874,0.855,0.107,0.0739,167.546,251453.0,4.0,spotify:track:6ih6SxoeCVOxPzeoE69PzW,6ih6SxoeCVOxPzeoE69PzW,7
Prison Song,Carlton Williams,0.55,0.452,0.0,-12.666,1.0,0.0738,0.317,5.98e-06,0.726,0.25,78.143,166449.0,4.0,spotify:track:7kpYvT7rc1PstHASHqokXo,7kpYvT7rc1PstHASHqokXo,0
Hal Hal,Barış Manço,0.537,0.571,7.0,-16.386,1.0,0.0817,0.517,0.0,0.262,0.975,193.862,216360.0,4.0,spotify:track:0lrfWTxWwdZWWtJsXXL31z,0lrfWTxWwdZWWtJsXXL31z,11
Dujii,Kool & The Gang,0.347,0.497,2.0,-10.429,1.0,0.0289,0.422,0.508,0.717,0.71,90.322,362933.0,3.0,spotify:track:7lYWY0vw6d1YQSum4Fdfy9,7lYWY0vw6d1YQSum4Fdfy9,8
Love Song,Lani Hall,0.601,0.358,1.0,-15.473,1.0,0.0534,0.259,0.0735,0.105,0.479,73.344,191347.0,4.0,spotify:track:3YqEc4cKdMz9jy7s61ktdM,3YqEc4cKdMz9jy7s61ktdM,0
"Dundas, Ontario",Caribou,0.768,0.392,9.0,-10.179,0.0,0.1,0.647,0.923,0.101,0.257,120.01,264120.0,4.0,spotify:track:0Nnk9TxG3HgnFXKd1P6zEL,0Nnk9TxG3HgnFXKd1P6zEL,12
Medellin,Daphni,0.901,0.725,7.0,-10.18,1.0,0.0419,0.0183,0.91,0.0851,0.846,127.993,375447.0,4.0,spotify:track:3Qc5CHJvSjUgDborUncDu1,3Qc5CHJvSjUgDborUncDu1,8
Don't Turn Me Away,Gladys Knight & The Pips,0.481,0.354,1.0,-12.392,0.0,0.0256,0.594,0.0,0.405,0.346,81.003,173040.0,3.0,spotify:track:5GzZHQkyjHqZMPh4Lwjztn,5GzZHQkyjHqZMPh4Lwjztn,10
The Waving Theme,Nemo,0.33,0.805,6.0,-7.667,1.0,0.035,0.044,0.8,0.124,0.489,143.325,160347.0,1.0,spotify:track:1wNMZfSZsPOwxX8D7QRHG9,1wNMZfSZsPOwxX8D7QRHG9,8
Nao Aguento Voce,Trio Esperança,0.612,0.428,4.0,-13.134,0.0,0.0369,0.471,0.125,0.395,0.67,108.622,122327.0,4.0,spotify:track:1kRbxCZL5BThW1tRzdeKhr,1kRbxCZL5BThW1tRzdeKhr,10
Tihar bayatin - Live,Tartit,0.69,0.502,1.0,-9.425,1.0,0.082,0.772,0.000518,0.169,0.409,113.307,183653.0,4.0,spotify:track:7AaxnZIg5tHt16tWy5G42g,7AaxnZIg5tHt16tWy5G42g,4
