danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.394,0.661,4,-8.684,1,0.192,0.00996,0.0,0.343,0.335,149.818,audio_features,2N3U8uTYhjX2KwGT0pf5x0,spotify:track:2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/tracks/2N3U8uTYhjX2KwGT0pf5x0,https://api.spotify.com/v1/audio-analysis/2N3U8uTYhjX2KwGT0pf5x0,260987,4
0.844,0.513,1,-8.769,1,0.335,0.178,0.0,0.0845,0.344,128.085,audio_features,7pMRoGLEJuFM2wl5pt0R99,spotify:track:7pMRoGLEJuFM2wl5pt0R99,https://api.spotify.com/v1/tracks/7pMRoGLEJuFM2wl5pt0R99,https://api.spotify.com/v1/audio-analysis/7pMRoGLEJuFM2wl5pt0R99,244941,4
0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,audio_features,7nc7mlSdWYeFom84zZ8Wr8,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/tracks/7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/audio-analysis/7nc7mlSdWYeFom84zZ8Wr8,180380,4
0.956,0.515,11,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937,audio_features,7oLKoGzQVwjZ91AzCn560T,spotify:track:7oLKoGzQVwjZ91AzCn560T,https://api.spotify.com/v1/tracks/7oLKoGzQVwjZ91AzCn560T,https://api.spotify.com/v1/audio-analysis/7oLKoGzQVwjZ91AzCn560T,122070,4
0.569,0.761,5,-6.071,0,0.475,0.261,6.71e-06,0.0748,0.325,180.122,audio_features,0q5DrtpnnGpOvBy5nnPMbe,spotify:track:0q5DrtpnnGpOvBy5nnPMbe,https://api.spotify.com/v1/tracks/0q5DrtpnnGpOvBy5nnPMbe,https://api.spotify.com/v1/audio-analysis/0q5DrtpnnGpOvBy5nnPMbe,184000,4
0.774,0.575,10,-7.004,0,0.173,0.00521,0.0,0.194,0.665,102.858,audio_features,7Fmcaq4o4eTJ4duXS27Dl7,spotify:track:7Fmcaq4o4eTJ4duXS27Dl7,https://api.spotify.com/v1/tracks/7Fmcaq4o4eTJ4duXS27Dl7,https://api.spotify.com/v1/audio-analysis/7Fmcaq4o4eTJ4duXS27Dl7,218880,4
0.651,0.601,10,-5.097,0,0.0497,0.39,0.0,0.0882,0.512,133.954,audio_features,7k802XMtsF57i4WS2M2MGg,spotify:track:7k802XMtsF57i4WS2M2MGg,https://api.spotify.com/v1/tracks/7k802XMtsF57i4WS2M2MGg,https://api.spotify.com/v1/audio-analysis/7k802XMtsF57i4WS2M2MGg,201422,4
0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
0.716,0.479,5,-9.636,0,0.173,0.0835,0.0,0.21,0.59,97.981,audio_features,7fX5rZkXj7lWekrgIvv7mo,spotify:track:7fX5rZkXj7lWekrgIvv7mo,https://api.spotify.com/v1/tracks/7fX5rZkXj7lWekrgIvv7mo,https://api.spotify.com/v1/audio-analysis/7fX5rZkXj7lWekrgIvv7mo,256507,4
0.825,0.718,1,-2.896,1,0.0518,0.0732,0.000157,0.142,0.919,139.983,audio_features,2eN0rxTtgxKkmVCNgizayr,spotify:track:2eN0rxTtgxKkmVCNgizayr,https://api.spotify.com/v1/tracks/2eN0rxTtgxKkmVCNgizayr,https://api.spotify.com/v1/audio-analysis/2eN0rxTtgxKkmVCNgizayr,185001,4
