danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.774,0.787,7,-6.109,0,0.0555,0.227,0.00234,0.124,0.956,103.69,audio_features,044fQJmT2fZUYcA3BnaOL2,spotify:track:044fQJmT2fZUYcA3BnaOL2,https://api.spotify.com/v1/tracks/044fQJmT2fZUYcA3BnaOL2,https://api.spotify.com/v1/audio-analysis/044fQJmT2fZUYcA3BnaOL2,220386,4
0.559,0.725,10,-8.631,0,0.0426,0.000365,0.553,0.112,0.501,90.012,audio_features,39tLc4Xp58Lu4KcWHggeE2,spotify:track:39tLc4Xp58Lu4KcWHggeE2,https://api.spotify.com/v1/tracks/39tLc4Xp58Lu4KcWHggeE2,https://api.spotify.com/v1/audio-analysis/39tLc4Xp58Lu4KcWHggeE2,373307,4
0.495,0.917,7,-3.142,1,0.116,0.0725,0.0,0.192,0.515,95.153,audio_features,2IHis3G514vLfCnJUjkW21,spotify:track:2IHis3G514vLfCnJUjkW21,https://api.spotify.com/v1/tracks/2IHis3G514vLfCnJUjkW21,https://api.spotify.com/v1/audio-analysis/2IHis3G514vLfCnJUjkW21,217690,4
0.595,0.87,2,-3.969,0,0.0839,0.121,0.0,0.185,0.745,90.079,audio_features,3UMuQCHQPTP30xEjLzoHAQ,spotify:track:3UMuQCHQPTP30xEjLzoHAQ,https://api.spotify.com/v1/tracks/3UMuQCHQPTP30xEjLzoHAQ,https://api.spotify.com/v1/audio-analysis/3UMuQCHQPTP30xEjLzoHAQ,221348,4
0.455,0.898,10,-3.676,1,0.196,0.0797,0.0,0.156,0.65,168.097,audio_features,5kOPDvWmYWTAhv5sve6Obf,spotify:track:5kOPDvWmYWTAhv5sve6Obf,https://api.spotify.com/v1/tracks/5kOPDvWmYWTAhv5sve6Obf,https://api.spotify.com/v1/audio-analysis/5kOPDvWmYWTAhv5sve6Obf,179549,4
0.538,0.856,0,-5.024,0,0.0637,0.00882,0.0,0.41,0.272,121.009,audio_features,2XJyadSaiViWsXb0U4uqne,spotify:track:2XJyadSaiViWsXb0U4uqne,https://api.spotify.com/v1/tracks/2XJyadSaiViWsXb0U4uqne,https://api.spotify.com/v1/audio-analysis/2XJyadSaiViWsXb0U4uqne,170856,4
0.37,0.933,1,-4.173,0,0.432,0.0173,9.14e-05,0.345,0.425,143.052,audio_features,2b74biv8TXnBxDqexUXxYM,spotify:track:2b74biv8TXnBxDqexUXxYM,https://api.spotify.com/v1/tracks/2b74biv8TXnBxDqexUXxYM,https://api.spotify.com/v1/audio-analysis/2b74biv8TXnBxDqexUXxYM,226659,4
0.306,0.93,9,-1.696,1,0.118,0.113,3.83e-06,0.289,0.389,167.149,audio_features,5Zb4y60TKTNbeKYvxiYj4s,spotify:track:5Zb4y60TKTNbeKYvxiYj4s,https://api.spotify.com/v1/tracks/5Zb4y60TKTNbeKYvxiYj4s,https://api.spotify.com/v1/audio-analysis/5Zb4y60TKTNbeKYvxiYj4s,170680,4
0.383,0.852,3,-3.713,1,0.058,0.0612,0.0,0.104,0.35,164.027,audio_features,1TgE1eqQuXPdZ9N2WEGdnr,spotify:track:1TgE1eqQuXPdZ9N2WEGdnr,https://api.spotify.com/v1/tracks/1TgE1eqQuXPdZ9N2WEGdnr,https://api.spotify.com/v1/audio-analysis/1TgE1eqQuXPdZ9N2WEGdnr,227136,4
0.389,0.875,10,-3.65,1,0.113,0.00141,0.0,0.356,0.242,140.241,audio_features,4p2bIczE3JIWrtWCu7Sde2,spotify:track:4p2bIczE3JIWrtWCu7Sde2,https://api.spotify.com/v1/tracks/4p2bIczE3JIWrtWCu7Sde2,https://api.spotify.com/v1/audio-analysis/4p2bIczE3JIWrtWCu7Sde2,273561,4
