danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.35,0.476,5.0,-10.653,1.0,0.034,0.765,0.0039,0.0785,0.293,171.938,audio_features,36ylLzMtvJ2CItc7bN4TcF,spotify:track:36ylLzMtvJ2CItc7bN4TcF,https://api.spotify.com/v1/tracks/36ylLzMtvJ2CItc7bN4TcF,https://api.spotify.com/v1/audio-analysis/36ylLzMtvJ2CItc7bN4TcF,314987.0,4.0,
0.511,0.917,7.0,-3.239,0.0,0.124,0.0273,0.0,0.819,0.241,100.123,audio_features,0ZtLv7aVallYjnPJNZJWk7,spotify:track:0ZtLv7aVallYjnPJNZJWk7,https://api.spotify.com/v1/tracks/0ZtLv7aVallYjnPJNZJWk7,https://api.spotify.com/v1/audio-analysis/0ZtLv7aVallYjnPJNZJWk7,192707.0,4.0,
0.6,0.416,7.0,-9.553,1.0,0.0257,0.776,0.0265,0.109,0.0786,93.625,audio_features,3Z0YN50RzRtmYre1bRG8H6,spotify:track:3Z0YN50RzRtmYre1bRG8H6,https://api.spotify.com/v1/tracks/3Z0YN50RzRtmYre1bRG8H6,https://api.spotify.com/v1/audio-analysis/3Z0YN50RzRtmYre1bRG8H6,299711.0,4.0,
0.563,0.864,4.0,-4.066,0.0,0.0386,0.0585,0.0,0.419,0.439,119.964,audio_features,6pIZ0u32c2Lku8PmCWtnMy,spotify:track:6pIZ0u32c2Lku8PmCWtnMy,https://api.spotify.com/v1/tracks/6pIZ0u32c2Lku8PmCWtnMy,https://api.spotify.com/v1/audio-analysis/6pIZ0u32c2Lku8PmCWtnMy,213424.0,4.0,
0.585,0.661,8.0,-3.114,1.0,0.137,0.0509,0.000149,0.199,0.169,123.933,audio_features,1K4G5LfdiD0fxVZDG5c0RR,spotify:track:1K4G5LfdiD0fxVZDG5c0RR,https://api.spotify.com/v1/tracks/1K4G5LfdiD0fxVZDG5c0RR,https://api.spotify.com/v1/audio-analysis/1K4G5LfdiD0fxVZDG5c0RR,238266.0,4.0,
0.62,0.403,1.0,-6.998,0.0,0.0393,0.636,0.0,0.128,0.528,135.84,audio_features,6TqDrmjUDqQo4JiF1apQnL,spotify:track:6TqDrmjUDqQo4JiF1apQnL,https://api.spotify.com/v1/tracks/6TqDrmjUDqQo4JiF1apQnL,https://api.spotify.com/v1/audio-analysis/6TqDrmjUDqQo4JiF1apQnL,231014.0,4.0,
0.355,0.907,8.0,-3.615,0.0,0.0463,2.61e-05,0.0171,0.108,0.457,158.979,audio_features,1jgFBgIUIOAFSotrZIOUTg,spotify:track:1jgFBgIUIOAFSotrZIOUTg,https://api.spotify.com/v1/tracks/1jgFBgIUIOAFSotrZIOUTg,https://api.spotify.com/v1/audio-analysis/1jgFBgIUIOAFSotrZIOUTg,217800.0,4.0,
0.75,0.664,0.0,-7.771,1.0,0.0458,0.279,4.01e-05,0.11,0.595,140.055,audio_features,4LvfA7j0Gf2CZjo3nImmuJ,spotify:track:4LvfA7j0Gf2CZjo3nImmuJ,https://api.spotify.com/v1/tracks/4LvfA7j0Gf2CZjo3nImmuJ,https://api.spotify.com/v1/audio-analysis/4LvfA7j0Gf2CZjo3nImmuJ,249161.0,4.0,
0.585,0.668,6.0,-3.816,1.0,0.0306,0.0217,1.16e-05,0.098,0.299,137.981,audio_features,37aStseEdbd33KlmUlIHX6,spotify:track:37aStseEdbd33KlmUlIHX6,https://api.spotify.com/v1/tracks/37aStseEdbd33KlmUlIHX6,https://api.spotify.com/v1/audio-analysis/37aStseEdbd33KlmUlIHX6,245813.0,4.0,
0.651,0.771,9.0,-6.541,0.0,0.0313,0.00381,1.71e-05,0.238,0.456,112.015,audio_features,2So9pYqQ0JWvFhasJfI871,spotify:track:2So9pYqQ0JWvFhasJfI871,https://api.spotify.com/v1/tracks/2So9pYqQ0JWvFhasJfI871,https://api.spotify.com/v1/audio-analysis/2So9pYqQ0JWvFhasJfI871,250714.0,4.0,
