danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.118,0.0533,5,-29.235,1,0.0533,0.909,0.923,0.0782,0.028,67.378,audio_features,5aGKn4HWgO7dYkzd2Xkm5k,spotify:track:5aGKn4HWgO7dYkzd2Xkm5k,https://api.spotify.com/v1/tracks/5aGKn4HWgO7dYkzd2Xkm5k,https://api.spotify.com/v1/audio-analysis/5aGKn4HWgO7dYkzd2Xkm5k,3997680,4
0.138,0.276,2,-23.297,1,0.0498,0.788,0.911,0.113,0.0978,141.42,audio_features,6tM062ZRohsNbLa3OaHcPY,spotify:track:6tM062ZRohsNbLa3OaHcPY,https://api.spotify.com/v1/tracks/6tM062ZRohsNbLa3OaHcPY,https://api.spotify.com/v1/audio-analysis/6tM062ZRohsNbLa3OaHcPY,932000,1
0.263,0.484,6,-10.419,1,0.0534,0.0799,0.815,0.285,0.0371,154.789,audio_features,0I5D3yRawWRHrAJsFdFNrj,spotify:track:0I5D3yRawWRHrAJsFdFNrj,https://api.spotify.com/v1/tracks/0I5D3yRawWRHrAJsFdFNrj,https://api.spotify.com/v1/audio-analysis/0I5D3yRawWRHrAJsFdFNrj,1010853,4
0.187,0.297,2,-24.522,1,0.0727,0.0668,0.895,0.102,0.0383,119.241,audio_features,3nzRf3Ajv04oi8PbnSDSP0,spotify:track:3nzRf3Ajv04oi8PbnSDSP0,https://api.spotify.com/v1/tracks/3nzRf3Ajv04oi8PbnSDSP0,https://api.spotify.com/v1/audio-analysis/3nzRf3Ajv04oi8PbnSDSP0,1143667,1
0.163,0.0888,2,-24.673,0,0.0399,0.976,0.911,0.117,0.0381,131.834,audio_features,3izYqkzqnPu8SctUNeyne2,spotify:track:3izYqkzqnPu8SctUNeyne2,https://api.spotify.com/v1/tracks/3izYqkzqnPu8SctUNeyne2,https://api.spotify.com/v1/audio-analysis/3izYqkzqnPu8SctUNeyne2,674160,4
0.178,0.00268,1,-33.57,1,0.0491,0.972,0.958,0.132,0.0972,68.896,audio_features,73Gfj8OMN6GJCXiqvSiIH5,spotify:track:73Gfj8OMN6GJCXiqvSiIH5,https://api.spotify.com/v1/tracks/73Gfj8OMN6GJCXiqvSiIH5,https://api.spotify.com/v1/audio-analysis/73Gfj8OMN6GJCXiqvSiIH5,1397760,4
0.108,0.151,10,-20.25,0,0.0446,0.722,0.859,0.155,0.035,56.926,audio_features,4q4PVP9tH4WgGlmYuNZqsf,spotify:track:4q4PVP9tH4WgGlmYuNZqsf,https://api.spotify.com/v1/tracks/4q4PVP9tH4WgGlmYuNZqsf,https://api.spotify.com/v1/audio-analysis/4q4PVP9tH4WgGlmYuNZqsf,1578000,4
0.0818,0.0509,5,-28.401,1,0.0431,0.97,0.98,0.102,0.0379,73.305,audio_features,1JBplCoTzT00SZwz2NBy64,spotify:track:1JBplCoTzT00SZwz2NBy64,https://api.spotify.com/v1/tracks/1JBplCoTzT00SZwz2NBy64,https://api.spotify.com/v1/audio-analysis/1JBplCoTzT00SZwz2NBy64,789050,4
0.2,0.617,10,-15.23,0,0.0744,0.0409,0.372,0.0988,0.0353,104.65,audio_features,77rz0oP8SyYU6blsUaSITK,spotify:track:77rz0oP8SyYU6blsUaSITK,https://api.spotify.com/v1/tracks/77rz0oP8SyYU6blsUaSITK,https://api.spotify.com/v1/audio-analysis/77rz0oP8SyYU6blsUaSITK,1232413,4
0.287,0.146,11,-23.004,0,0.045,0.828,0.911,0.104,0.045,144.079,audio_features,1O478jqBXnHd1r1LOhIN3I,spotify:track:1O478jqBXnHd1r1LOhIN3I,https://api.spotify.com/v1/tracks/1O478jqBXnHd1r1LOhIN3I,https://api.spotify.com/v1/audio-analysis/1O478jqBXnHd1r1LOhIN3I,642375,4
